Id;Source;Target;Type;weight;timeset
59.0;063a421d185f6d86048664dc0699dc90;3505d413d652de4f32a58b35cca8b8f9;undirected;105.0;<[2,2]>
60.0;062f7afc5063e965dbb035cbbfe4b1cf;5cf5a388ac6d08c1706b473740fbc40d;undirected;107.0;<[2,2]>
61.0;04c06cb84be4d9f833f28af04050d822;24bfd4e40e6506a5335b4d94c3f41b58;undirected;115.0;<[2,2]>
62.0;03a56083d1d2e71e88695d136430a818;40ce2d789e25d286204690cdda5db4ad;undirected;119.0;<[2,2]>
63.0;063a421d185f6d86048664dc0699dc90;fdf19ef9a7c843bcee7a3d04754a5527;undirected;105.0;<[2,2]>
64.0;063a421d185f6d86048664dc0699dc90;26290a9c7721e14d0fb3fefc5b5184fb;undirected;105.0;<[2,2]>
65.0;062f7afc5063e965dbb035cbbfe4b1cf;44933ddfaf091f7b7d6a58a4f43d96bc;undirected;107.0;<[2,2]>
66.0;062f7afc5063e965dbb035cbbfe4b1cf;7a63a42325e3dcc95d73f441b48c9fbd;undirected;107.0;<[2,2]>
67.0;063a421d185f6d86048664dc0699dc90;f52d81fb9e25e03ec94065339eeb3582;undirected;105.0;<[2,2]>
68.0;04c06cb84be4d9f833f28af04050d822;855c010b118320a0fcbd6aebcbb20375;undirected;115.0;<[2,2]>
69.0;04c06cb84be4d9f833f28af04050d822;f5ede5578722d3aef53612d3b4781c22;undirected;115.0;<[2,2]>
70.0;062f7afc5063e965dbb035cbbfe4b1cf;90dbf9cda24ebbd1353b4ac3e54b930f;undirected;107.0;<[2,2]>
71.0;062f7afc5063e965dbb035cbbfe4b1cf;d65f30da30bfee836e0708c86e2002e0;undirected;107.0;<[2,2]>
72.0;03a56083d1d2e71e88695d136430a818;59290b301123f30c1f36d4d1b0d5c8c6;undirected;119.0;<[2,2]>
73.0;062f7afc5063e965dbb035cbbfe4b1cf;9d94d30623f990378907dd1d89abbedb;undirected;107.0;<[2,2]>
74.0;062f7afc5063e965dbb035cbbfe4b1cf;c660c314f3884d249994bf45840131c7;undirected;107.0;<[2,2]>
75.0;03a56083d1d2e71e88695d136430a818;151bcfdc94f489ef57f6d3ae01c7435c;undirected;119.0;<[2,2]>
76.0;062f7afc5063e965dbb035cbbfe4b1cf;7910ccba1511a3539cb86e5a6277465d;undirected;107.0;<[2,2]>
77.0;062f7afc5063e965dbb035cbbfe4b1cf;3765665c3788c0a9fd70b1da044ff350;undirected;107.0;<[2,2]>
78.0;062f7afc5063e965dbb035cbbfe4b1cf;06cfff112c53434ba4ca52763d889d2d;undirected;107.0;<[2,2]>
79.0;062f7afc5063e965dbb035cbbfe4b1cf;6ff69f4d62eaa0d346e04c3f42399126;undirected;107.0;<[2,2]>
80.0;062f7afc5063e965dbb035cbbfe4b1cf;fcc13d26c126e6bb6289394bcfb236b0;undirected;107.0;<[2,2]>
81.0;04c06cb84be4d9f833f28af04050d822;efc0fc96eff8cc29db915de21a8b2dc5;undirected;115.0;<[2,2]>
82.0;062f7afc5063e965dbb035cbbfe4b1cf;19ce5c7678c9afb34971e967174c555d;undirected;107.0;<[2,2]>
